movieName,genre,imdb,director,cast
bale pandiya,"comedy, romance",7.7,b. ramakrishnaiah panthulu,"shivaji ganesan, m.r. radha, devika, k. balaji"
karnan,"action, drama, history",8,b. ramakrishnaiah panthulu,"shivaji ganesan, taraka rama rao nandamuri, s.a. ashokan, r. muthuraman"
kadalikka neramillai,"comedy, romance",8.1,c.v. sridhar,"t.s. balaiah, kanchana, r. muthuraman, nagesh"
enga veetu pillai,"action, comedy, drama",7.1,tapi chanakya,"saroja devi b., nagesh, m.n. nambiar, pandharibai"
ayirathil oruvan,"action, adventure",7.1,b. ramakrishnaiah panthulu,"jayalalitha j, r.s. manohar, nagesh, m.n. nambiar"
thiruvilayadal,"drama, family, musical",7.8,a.p. nagarajan,"shivaji ganesan, savitri, nagesh, balaiya"
anbe vaa,"comedy, romance",7,a.c. trilogchander,"m.g. ramachandran, saroja devi b., nagesh, aachi manorama"
adimai penn,drama,7.4,k. shankar,"s.a. ashokan, j.p. chandrababu, o.a.k. devar, jayalalitha j"
kasethan kadavulada,comedy,7.1,chitralaya gopu,"lakshmi, aachi manorama, venniradai moorthy, r. muthuraman"
ninaithale inikkum,"musical, romance",6.9,k. balachander,"kamal haasan, jaya prada, rajinikanth, sarath babu"
indru poyi naalai vaa,comedy,7.3,bhagyaraj,"bhagyaraj, radhika sarathkumar, kallapatti singaram"
dhavani kannavukal,drama,6.9,bhagyaraj,"bhagyaraj, shivaji ganesan, parthiban, radhika sarathkumar"
munthanai mudichu,drama,6.8,bhagyaraj,"unni mary, thavakalai, urvashi"
aan paavam,comedy,7.7,r. pandiaraajan,"janakaraj, r. pandiaraajan, pandiyan, v.k. ramasamy"
muthal mariyathai,drama,7.6,bharathiraja,"shivaji ganesan, radha, renjini, sathyaraj"
mouna ragam,"drama, romance",8.5,mani ratnam,"karthik, mohan, v.k. ramasamy, revathi"
samsaram athu minsaram,drama,7.2,visu,"chandrasekhar, dilip, delhi ganesh, ilavarasi"
nadigan,"comedy, romance",7.1,p. vasu,"sathyaraj, kushboo, goundamani, aachi manorama"
gentleman,"action, drama, thriller",7.9,s. shankar,"rajan p. dev, prabhu deva, gautami, goundamani"
amaidhi padai,"action, crime, drama",7.6,manivannan,"kasturi, manivannan, ranjitha, sathyaraj"
nattamai,"action, drama",6.9,k.s. ravikumar,"goundamani, sarath kumar, kushboo, meena"
kadhal kottai,"drama, romance",7.5,ahathian,"ajith kumar, devayani, heera rajgopal, sabitha anand"
ullathai allitha,comedy,7.7,sundar c.,"goundamani, karthik, rambha"
poove unakkaga,"comedy, drama, romance",7.8,vikraman,"anju aravind, madhan bob, charlie, jai ganesh"
iruvar,"biography, drama",8.5,mani ratnam,"mohanlal, prakash raj, aishwarya rai bachchan, gautami"
kadhalukku mariyadhai,"drama, romance",7.6,fazil,"joseph vijay, shalini, charlie, dhamu"
suryavamsam,drama,7.2,srinivasa rao bhimaneni,"venkatesh daggubati, meena, sanghavi, radhika sarathkumar"
jodi,romance,6.1,praveenkanth,"sakthi chidambaram, isha koppikar, sennalkudi lakshmi, nassar"
vaalee,"romance, thriller",7.9,s.j. suryah,"ajith kumar, simran, jyotika, vivek"
alai payuthey,"drama, musical, romance",8.3,mani ratnam,"madhavan, shalini, swarnamalya, v. natarajan"
vetri kodi kattu,comedy,7.1,cheran,"murali, parthiban, meena, malavikka"
vaanathaipola,"drama, musical, romance",6.9,vikraman,"vijayakanth, meena, prabhu deva, livingston"
rhythm,"drama, musical, romance",7.6,vasanth,"ramesh aravind, joy badlani, jyotika, lakshmi"
minnale,"comedy, drama, musical",7.6,gautham vasudev menon,"madhavan, abbas, reema sen, nagesh"
ramana,"action, drama",8.1,a.r. murugadoss,"vijayakanth, simran, ashima bhalla, yugi sethu"
azagiya theeye,drama,7.1,radha mohan,"devadarshini chetan, navya nair, prasanna, prakash raj"
imsai arasan 23 m pulikesi,comedy,7.7,chimbudeven,"vadivelu, nassar, nagesh, aachi manorama"
em magan,"drama, romance",6.6,thirumurugan,"bharath srinivasan, gopika, nassar, vadivelu"
mozhi,"comedy, musical, romance",8,radha mohan,"prithviraj sukumaran, jyotika, prakash raj, swarnamalya"
paruthiveeran,"action, drama, romance",8.1,ameer sultan,"karthi, priyamani, saravanan, ponvannan"
chennai 600028,"comedy, romance, sport",7.9,venkat prabhu,"shiva, jai, nitin sathya, premgi amaren"
abhiyum naanum,"comedy, drama, family",7.6,radha mohan,"prakash raj, trisha krishnan, aishwarya, ganesh venkatraman"
siva manasula sakthi,"comedy, drama, romance",7.1,m. rajesh,"jiiva, anuya bhagwat, santhanam, urvashi"
pasanga,"drama, family",7.6,pandiraj,"vimal, vega tamotia, kishore kumar g., sri ram"
vinnaithaandi varuvaayaa,"drama, romance",8,gautham vasudev menon,"t.r. silambarasan, trisha krishnan, vtv ganesh, raja krishnamoorthy"
madrasapattinam,"drama, history, romance",7.8,a.l. vijay,"arya, carole trangmar-palmer, amy jackson, cochin hanifa"
kumki,drama,7,prabu solomon,"vikram prabhu, lakshmi menon, thambi ramaiah, ashwin raja"
kadhalil sodhappuvadhu yeppadi,"comedy, romance",7.1,balaji mohan,"siddharth, amala paul, suresh, ravi raghavendra"
soodhu kavvum,"comedy, crime, thriller",8.3,nalan kumarasamy,"vijay sethupathi, sanchita shetty, radha ravi, m.s. bhaskar"
raja rani,"comedy, drama, romance",7.6,atlee kumar,"arya, nayanthara, jai, nazriya nazim"
kalyana samayal saadham,"comedy, romance",7.1,r.s. prasanna,"prasanna, lekha washington, delhi ganesh, uma pathmanabhan"
thani oruvan,"action, crime, thriller",8.4,mohan raja,"jayam ravi, arvind swamy, nayanthara, nassar"
naanum rowdydhaan,"action, comedy, romance",7.3,vignesh shivan,"vijay sethupathi, nayanthara, parthiban, radhika sarathkumar"
aandavan kattalai,drama,8.1,m. manikandan,"vijay sethupathi, ritika singh, pooja devariya, nassar"
nenjathai killathe,"drama, romance",7.4,j. mahendran,"suhasini, sarath babu, mohan, prathap pothen"
agni natchathiram,"action, crime, drama",7.7,mani ratnam,"karthik, prabhu, vijayakumar, amala akkineni"
moodupani,thriller,7.1,balu mahendra,"prathap pothen, shobha, malasia bhaskar, gandhimathi"
johnny,"action, crime, drama",7.5,j. mahendran,"rajinikanth, k. balaji, unni mary, suruli rajan"
alaigal ooivathilai,"drama, romance",6.7,bharathiraja,"karthik, radha, silk smitha, goundamani"
nooravathu naal,"crime, mystery, thriller",7.1,manivannan,"mohan, nalini, sathyaraj, vijayakanth"
nizhalgal,"adventure, drama",7.4,bharathiraja,"chandrashekhar, chandrashekhar, raadhu, nizhalgal ravi"
oomai vizhigal,"action, crime, mystery",7.1,r. aravindraj,"c. arunpandian, chandrasekhar, ilavarasi, jaishankar"
arangetra velai,"comedy, thriller",7.1,fazil,"anju, delhi ganesh, jai ganesh, janakaraj"
anjali,"family, drama",8.2,mani ratnam,"revathi, raghuvaran, prabhu, saranya ponvannan"
avasara police 100,"action, crime, thriller",6.6,bhagyaraj,"bhagyaraj, mounika, nambiar, m.n. nambiar"
keladi kanmani,drama,7.4,vasanth,"s.p. balasubrahmanyam, radhika sarathkumar, anju aravind, ramesh aravind"
my dear marthandan,"drama, romance",6.2,prathap pothen,"goundamani, prabhu, r.s. shivaji"
pulan visaaranai,"action, crime, thriller",6.9,r.k. selvamani,"vijayakanth, roobini, m.n. nambiar, radha ravi"
gopura vasalile,"comedy, romance",6.6,priyadarshan,"karthik, bhanupriya, suchitra, junior balaiya"
captain prabhakaran,"action, thriller",7.1,r.k. selvamani,"mansoor ali khan, sarath kumar, ramya krishnan, roobini"
chinna thambi,"drama, romance",6.6,p. vasu,"prabhu, kushboo, aachi manorama, radha ravi"
idhayam,"drama, romance",6.8,kathir,"chinnijayanth, janakaraj, aachi manorama, murali"
marupakkam,drama,7.1,k.s. sethumadhavan,"achamilai gopi, jayabharati, radha, sivakumar"
brahma,action,3.9,gopal b.,"aishwarya, annapoorna, mohan babu, tanikella bharani"
chinna gounder,"drama, romance, thriller",6.8,r.v. udhaya kumar,"salim ghouse, aachi manorama, sukanya, vadivelu"
roja,"drama, romance, thriller",8.2,mani ratnam,"arvind swamy, madhoo, pankaj kapur, nassar"
marupadiyam,"drama, family",7.2,balu mahendra,"joy badlani, nizhalgal ravi, revathi, rohini"
walter vetrivel,"action, drama",6.2,p. vasu,"goundamani, sathyaraj, sukanya, vijayakumar"
kalaignan,"action, drama, thriller",6.3,g.b. vijay,"kamal haasan, bindiya, farheen, chi gurudutt"
pudhiya mugam,"action, drama, thriller",6.2,suresh chandra menon,"kasthuri, suresh chandra menon, nirmala, revathi"
kizhakku seemayile,drama,7,bharathiraja,"vijayakumar, radhika sarathkumar, napolean, pandiyan"
thiruda thiruda,"action, crime, drama",7.2,mani ratnam,"prashanth, anand, heera rajgopal, anu agrawal"
duet,"musical, romance",6.5,k. balachander,"prabhu, ramesh aravind, meenakshi sheshadri, prakash raj"
saadu,musical,6.7,p. vasu,"arjun sarja, raveena tandon"
may madham,"drama, musical, romance",6.3,venusbalu,"janakaraj, sonali kulkarni, aachi manorama, monica"
karuththamma,"drama, romance",7.1,bharathiraja,"maheshwari, rajshri nair, periyadhasan, raja"
lucky man,"action, comedy, fantasy",6,prathap pothen,"karthik, sanghavi, goundamani, jayamani"
aasai,"drama, romance, thriller",7.6,vasanth,"ajith kumar, suvalakshmi, prakash raj, rohini"
makkal aatchi,thriller,6.9,r.k. selvamani,"mammootty, roja"
kalki,"drama, romance",6.5,k. balachander,"prakash raj, shruti, rahman, geetha"
ayudha pooja,"action, crime, drama",6.2,shivakumar,"nagesh, roja, arjun sarja, urvashi"
aahaa,drama,6.7,suresh krishna,"karuna bhushan, bhanupriya, delhi ganesh, rajiv krishna"
porkkalam,"comedy, romance",7.1,cheran,"ilavarasu, manivannan, meena, s.d. murali"
marumalarchi,drama,6.8,rajkumar,"mammootty, devayani, ranjith, aachi manorama"
kadhal mannan,"drama, romance",7.1,saran,"ajith kumar, maanu, m.s. viswanathan, vivek"
aval varuvala,mystery,6.2,raj kapoor,"ajith kumar, simran, sujatha, babloo prithviraj"
sollamale,romance,6.9,sasi,"kousalya, livingston, s. sathyendra"
kannethirey thondrinal,romance,6.6,ravichandran,"prashanth, simran, karan, srividya"
theeviravaathi: the terrorist,drama,7,santosh sivan,"ayesha dharker, k. krishna, sonu sisupal, vishwas"
unnai thedi,romance,6,sundar c.,"ajith kumar, malavikka, sivakumar, srividya"
amarkalam,"action, drama, romance",7.3,saran,"ajith kumar, shalini, raghuvaran, nassar"
unakkaga ellam unakkaga,"comedy, romance",6.5,sundar c.,"karthik, rambha, goundamani, vinuchakravarthy"
kannathil muthamittal,"action, drama, war",8.4,mani ratnam,"madhavan, simran, keerthana parthiepan, nandita das"
visaaranai,"crime, drama, thriller",8.5,vetrimaaran,"dinesh, samuthirakani, anandhi, murugadass"
aaranya kaandam,"action, crime, thriller",8.6,thiagarajan kumararaja,"sampath raj, jackie shroff, ravi krishna, yasmin ponnappa"
kattradhu thamizh,"drama, mystery",8.4,ram,"jiiva, anjali, karunas, azhagam perumal"
kaakkaa muttai,"comedy, drama",8.4,m. manikandan,"ramesh, j. vignesh, aishwarya rajesh, ramesh thilak"
jigarthanda,"action, crime, drama",8.3,karthik subbaraj,"siddharth, bobby simha, lakshmi menon, nassar"
aruvi,drama,8.6,arun prabhu purushothaman,"aditi balan, padmashri mohammad ali, pradeep anthony, arnold"
thavamai thavamiruntu,drama,7.7,cheran,"cheran, raj kiran, padmapriya, saranya ponvannan"
autograph,romance,7.7,cheran,"cheran, sneha, gopika, kaniha"
vazhakku enn 18/9,"crime, drama, thriller",8.3,balaji sakthivel,"sri, mithun murali, urmila mahanta, manisha yadav"
subramaniapuram,"action, drama, thriller",8,m. sasikumar,"jai, m. sasikumar, swathi reddy, 'ganja' karuppu"
pizza,"horror, thriller",8,karthik subbaraj,"vijay sethupathi, ramya nambeeshan, aadukalam naren, karunakaran"
onaayum aattukkuttiyum,"action, crime, thriller",8.2,myshkin,"myshkin, sri, adithya menon, bharath"
naduvula konjam pakkatha kaanom,"comedy, drama",8.2,balaji tharaneetharan,"vijay sethupathi, gayathrie, bagavathi perumal, rajkumar"
paradesi,"drama, history",8,bala,"atharvaa murali, vedika, dhansika, jerry"
theeran adhigaaram ondru,"action, crime, thriller",8.2,h. vinoth,"karthi, rakul preet singh, abhimanyu singh, bose venkat"
maanagaram,"action, thriller",8.1,lokesh kanagaraj,"sundeep kishan, sri, regina cassandra, charlie"
7/g rainbow colony,"drama, romance",7.8,k. selvaraghavan,"sonia agarwal, chandramohan, ravi krishna, aachi manorama"
sathuranga vettai,"crime, thriller",8.1,h. vinoth,"nataraja subramanian, ishara nair, ponvannan, ilavarasu"
anjathe,"action, drama, thriller",8.1,myshkin,"narain, prasanna, ajmal ameer, vijayalakshmi"
vaagai sooda vaa,"comedy, drama, romance",8,a. sarkunam,"vimal, iniya, bhagyaraj, ponvannan"
angadi theru,drama,7.6,vasanthabalan,"mahesh, anjali, a. venkatesh, pandi"
mouna guru,"action, thriller",7.7,santha kumar,"arulnithi, iniya, john vijay, uma riyaz khan"
saala khadoos,"action, drama, sport",7.6,sudha kongara,"madhavan, nassar, radha ravi, kaali venkat"
kaaviya thalaivan,"drama, history, music",7.6,vasanthabalan,"siddharth, prithviraj sukumaran, vedika, anaika soti"
dhuruvangal pathinaaru,"action, crime, mystery",8.4,karthick naren,"rahman, prakash raghavan, sharath kumar, santhosh krishna"
vidiyum munn,thriller,7.3,balaji k. kumar,"pooja umashankar, malavika manikuttan, vinoth kishan, lakshmi ramakrishnan"
indru netru naalai,"comedy, sci-fi, thriller",8,r. ravikumar,"vishnu vishal, mia george, karunakaran, v. jayaprakash"
raam,"action, drama, mystery",7.8,ameer sultan,"jiiva, saranya ponvannan, gajala, rahman"
thanga meengal,drama,7.9,ram,"ram, sadhana, shelly nabu kumar, rohini"
pisasu,horror,7.6,myshkin,"naga, prayaga martin, radha ravi, raj kumar"
kurangu bommai,"drama, thriller",8.1,nithilan,"vidharth, bharathiraja, delna davis, thenappan p.l."
naan kadavul,"action, drama",7.8,bala,"arya, pooja umashankar, motta rajendran, krishnamoorthy"
uriyadi,"action, thriller",8.1,vijay kumar,"vijay kumar, chandru, mime gopi, citizen sivakumar"
kaadhal,romance,7.5,balaji sakthivel,"bharath srinivasan, sandhya, sukumar, kadhal thandapani"
moodar koodam,"comedy, drama, musical",7.7,naveen,"naveen, sendrayan, rajaj, kuberan"
madras,"action, drama",8,pa. ranjith,"karthi, catherine tresa, kalaiyarasan, jayabalan"
aramm,drama,7.8,gopi nainar,"nayanthara, ramachandran durairaj, sunu lakshmi, kitty"
kuttrame thandanai,"crime, drama, mystery",7.8,m. manikandan,"vidharth, pooja devariya, aishwarya rajesh, rahman"
yutham sei,"crime, drama, mystery",8,myshkin,"cheran, ananyaa shah, y.g. mahendran, lakshmi ramakrishnan"
azhagi,"drama, romance",7.1,thangar bachan,"parthiban, nandita das, devayani, sayaji shinde"
iraivi,"crime, drama",8,karthik subbaraj,"s.j. suryah, vijay sethupathi, bobby simha, anjali"
oru kidayin karunai manu,drama,7.7,suresh sangaiah,"raveena ravi, vidharth"
taramani,"drama, romance",7.5,ram,"anjali, dongli jumbo, andrea jeremiah, venkateshbalaji"
attakathi,"comedy, romance",7.1,pa. ranjith,"dinesh, nandita shwetha, aishwarya rajesh, shalini"
8 thottakkal,"action, crime, thriller",7.6,sri ganesh,"vetri, aparna balamurali, nassar, m.s. bhaskar"
veyyil,drama,7.7,vasanthabalan,"pasupathy, bharath srinivasan, bhavana, priyanka nair"
pannaiyarum padminiyum,"comedy, drama",7.8,s.u. arun kumar,"vijay sethupathi, v. jayaprakash, tulasi, aishwarya rajesh"
13b: fear has a new address,"drama, horror, mystery",7.3,vikram k. kumar,"madhavan, neetu chandra, poonam dhillon, saranya ponvannan"
thegidi,"crime, mystery, thriller",7.8,p. ramesh,"ashok selvan, janani iyer, v. jayaprakash, jayakumar"
poo,drama,7.1,sasi,"parvathy thiruvothu, aiden grech, alex moore, srikanth"
engeyum eppodhum,"comedy, drama, family",7.9,m. saravanan,"jai, sharwanand, anjali, ananya"
jeeva,"drama, sport",7.5,suseenthiran,"vishnu vishal, sri divya, soori, lakshman narayan"
satham podathey,thriller,6.6,vasanth,"jagan, nassar, padmapriya, nitin sathya"
vennila kabadi kuzhu,"drama, sport",7.3,suseenthiran,"vishnu vishal, saranya mohan, kishore kumar g., soori"
peraanmai,"action, adventure, drama",7.1,s.p. jhananathan,"jayam ravi, saranya nag, vasundhara kashyap, dhansika"
mynaa,"action, romance",7.3,prabu solomon,"vidharth, amala paul, thambi ramaiah, sethu"
thadayara thakka,"action, thriller",7.3,magizh thirumeni,"arun vijay, mamta mohandas, rakul preet singh, vamsi krishna"
haridas,"drama, sport, thriller",7.1,kumaravelan,"kishore kumar g., sneha, prithviraj das, soori"
neer paravai,drama,7.1,seenu ramasamy,"vishnu vishal, sunaina, nandita das, samuthirakani"
maya,"horror, thriller",7.6,ashwin saravanan,"nayanthara, aari, amzath khan, lakshmi priyaa chandramouli"
aravaan,"action, adventure, drama",6.8,vasanthabalan,"aadhi, pasupathy, dhansika, archana kavi"
oru naal koothu,"comedy, drama",6.8,nelson venkatesan,"dinesh, nivetha pethuraj, mia george, riythvika"
naadodigal,"action, comedy, drama",7.7,samuthirakani,"m. sasikumar, vijay vasanth, bharani, ananya"
kuttram kadithal,drama,8,bramma g.,"master ajay, radhika prasidhha, sai rajkumar, pavel navageethan"
maayavan,"action, mystery, sci-fi",7.3,c.v. kumar,"sundeep kishan, lavanya tripathi, agaran, augustine"
metro,"action, crime, thriller",7.3,ananda krishnan,"shirish, sathya, bobby simha, sendrayan"
boss engira baskaran,comedy,7.2,m. rajesh,"arya, nayanthara, santhanam, subbu panchu"
meyaadha maan,romance,7.2,rathna kumar,"vaibhav reddy, priya bhavani shankar, vivek prasanna, indhuja ravichandran"
dharmadurai,drama,7.5,seenu ramasamy,"vijay sethupathi, tamannaah bhatia, aishwarya rajesh, srushti dange"
crime 23,"action, crime, thriller",7.4,arivazhagan venkatachalam,"arun vijay, abhinaya, aishwarya, aravind akash"
maragatha nananya,"adventure, comedy, fantasy",7,ark saravan,"aadhi, anandraj, m.s. baskar, m.s. bhaskar"
mundaasupatti,"comedy, drama, romance",7.6,ram kumar,"vishnu vishal, nandita shwetha, anand raj, kaali venkat"
demonte colony,"horror, thriller",6.9,r. ajay gnanamuthu,"arulnithi, ramesh thilak, sananth reddy, m.s. bhaskar"
ko,"action, thriller",7.8,k.v. anand,"jiiva, ajmal ameer, karthika nair, piaa bajpai"
azhagar samiyin kuthirai,drama,7.2,suseenthiran,"appukutty, saranya mohan, prabhakar, advaitha"
evano oruvan,"drama, thriller",7.1,nishikant kamat,"madhavan, sangeetha, seeman, devadarshini chetan"
kirumi,crime,7,anucharan,"charlie, david solomon raja, marimuthu, tamilselvi"
madha yaanai koottam,"drama, thriller",7.1,vikram sugumaran,"kathir, anju, viji chandrashekhar, v. jayaprakash"
sarabham,mystery,7.1,arun mohan,"naveen chandra, salony luthra, aadukalam naren, kadhal kannan"
the house next door,horror,6.8,milind rau,"prakash belawadi, khushi hajare, andrea jeremiah, atul kulkarni"
iyarkai,romance,7.4,s.p. jhananathan,"sima bisvas, chinnijayanth, karunas, radhika kumaraswamy"
rangoon,"action, crime, drama",7.1,rajkumar periasamy,"gautham karthik, lallu, sana makbul, prashant nair"
thamizh padam,comedy,7.3,c.s. amudhan,"shiva, disha pandey, venniradai moorthy, manobala"
adhe kangal,"action, thriller",7.3,rohin venkatesan,"r. aravindraj, abishek joseph george, janani iyer, kalaiyarasan"
96,"drama, romance",8.6,c. prem kumar,"vijay sethupathi, trisha krishnan, varsha bollamma, adithya bhaskar"
ratsasan,"action, crime, thriller",8.7,ram kumar,"vishnu vishal, radha ravi, sangili murugan, nizhalgal ravi"
mahanati,"biography, drama",8.5,nag ashwin,"keerthy suresh, dulquer salmaan, samantha ruth prabhu, vijay deverakonda"
coco kokila,"comedy, crime, drama",7.3,nelson,"nayanthara, saranya ponvannan, saravanan, yogi babu"
to let,family,8,chezhian ra,"dharun bala, t. arul ezhilan, mk mani, marudhu mohan"
petta,"action, drama",7.3,karthik subbaraj,"rajinikanth, vijay sethupathi, nawazuddin siddiqui, m. sasikumar"
idharkuthane aasaipattai balakumara,comedy,7.1,gokul,"vijay sethupathi, ashwin kakumanu, swathi reddy, nandita shwetha"
darling,"comedy, horror",5.9,sam anton,"g.v. prakash kumar, nikki galrani, srushti dange, karunas"
irandam ulagam,"action, fantasy, romance",5.7,k. selvaraghavan,"arya, anushka shetty, jaya bachchan, venkatesh harinathan"
kalam,"drama, horror, mystery",6.6,robert raaj,"lakshmi priyaa chandramouli, amzath khan, srinivasan, madhusudhan rao"
kanithan,"action, thriller",5.9,t. santhosh,"atharvaa murali, catherine tresa, tarun arora, bhagyaraj"
maaveeran kittu,"action, drama",6.6,suseenthiran,"sri divya, parthiban, soori, vishnu vishal"
miruthan,"action, horror",6,shakti soundar rajan,"jayam ravi, lakshmi menon, kaali venkat, r.n.r. manohar"
naan avanillai,"crime, drama, thriller",5.7,selva,"'university' jeevan, sneha, namitha, malavikka"
raja manthiri,"comedy, drama",7.1,usha krishnan,"anandhi, gajaraj, nadodigal gopal, kalaiyarasan"
sethu boomi,"action, drama, romance",4.7,kenthiran muniasami,"junior balaiya, cheranraj, thaman kumar, kenthiran muniasami"
sethupathi,"action, thriller",7.2,s.u. arun kumar,"vijay sethupathi, ramya nambeeshan, vela ramamoorthy, girrish"
tamilselvanum thaniyar anjalum,"action, romance, thriller",5,premsai,"vtv ganesh, yami gautam, jai, prem kumar"
tharkappu,"action, thriller",6,r.p. ravi,"amita ranganath, vatsan chakravarthy, vaishali deepak, riyaz khan"
girls,"horror, thriller",3.2,thulasidas,"nadia moidu, iniya, archana suseelan"
urumeen,"action, fantasy, thriller",4.7,sakthivel perumalsamy,"bobby simha, kalaiyarasan, reshmi menon, sandra amy"
vellaiya irukiravan poi solla maatan,comedy,6.8,a.l. abanindran,"praveen kumar, naren, pazhani, bala saravanan"
vetrivel,drama,6.2,vasantha mani,"m. sasikumar, mia george, prabhu, viji chandrashekhar"
damaal dumeel,"comedy, crime, drama",5.3,shree,"vaibhav reddy, ramya nambeeshan, sayaji shinde, srinivasa rao kota"
kadal,"drama, romance",5.4,mani ratnam,"arjun sarja, arvind swamy, gautham karthik, thulasi nair"
salim,"action, thriller",6.8,n.v. nirmal kumar,"vijay antony, aksha pardasany, r.n.r. manohar, p.v. chandramouli"
piriyatha varam vendum,"drama, romance",6.2,kamal,"prashanth, shalini, jomol, krishna"
sundara,"comedy, drama, family",6.9,s. prabhakaran,"m. sasikumar, lakshmi menon, vijay sethupathi, appukutty"
tharai thappattai,"action, drama, musical",5.6,bala,"m. sasikumar, varalaxmi sarathkumar, g.m. kumar, r.k. suresh"
trisha illana nayanthara,comedy,5.2,adhik ravichandran,"g.v. prakash kumar, anandhi, manisha yadav, simran"
180,"drama, romance",6,jayendra,"siddharth, nithya menon, priya anand, tanikella bharani"
arasu dharbar,drama,5.5,joone,"sarath kumar, simran, delhi ganesh"
boologam,action,5.8,n. kalyanakrishnan,"jayam ravi, trisha krishnan, prakash raj, nathan jones"
malini 22,"drama, thriller",5.1,sripriya,"nithya menon, krrish, kovai sarala, vidyullekha raman"
pooja,"action, drama",5,hari,"vishal, shruti haasan, sathyaraj, soori"
achamindri,thriller,6.4,rajapandi,"devadarshini chetan, srushti dange, karunas, saranya ponvannan"
achcham yenbadhu madamaiyada,"action, romance, thriller",6.4,gautham vasudev menon,"t.r. silambarasan, manjima mohan, baba sehgal, daniel balaji"
devi(l),"comedy, horror",6.2,a.l. vijay,"tamannaah bhatia, prabhu deva, sonu sood, amy jackson"
jayasurya,"action, thriller",6,suseenthiran,"vishal, kajal aggarwal, samuthirakani, soori"
isai,"musical, romance, thriller",6.4,s.j. suryah,"s.j. suryah, sathyaraj, sulagna panigrahi, thambi ramaiah"
komban,"action, drama",5.8,m. muthaiah,"karthi, lakshmi menon, raj kiran, karunas"
rekka,action,4.9,rathina shiva,"kishore kumar g., sathish krishnan, lakshmi menon, lian nasser"
naan mahaan alla,"action, crime, drama",7.1,suseenthiran,"karthi, kajal aggarwal, v. jayaprakash, krishna priya"
kathakali,"action, thriller",6.5,pandiraj,"vishal, catherine tresa, karunas, imman annachi"
kidaari,action,6.1,prasath murugesan,"nadodigal gopal, shobha mohan, napolean, hareesh peradi"
maruthu,"action, drama",5.2,m. muthaiah,"vishal, sri divya, r.k. suresh, kulappulli leela"
muthina kathirika,"comedy, drama",5.4,venkat raghavan,"yogi babu, poonam bajwa, sundar c., vtv ganesh"
nimirndhu nil,"action, drama",5.9,samuthirakani,"jayam ravi, sarath kumar, amala paul, ragini dwivedi"
kayal,romance,6.4,prabu solomon,"chandran, anandhi, vincent, gemini rajeshwari"
chandi veeran,"action, drama, romance",4.9,a. sarkunam,"atharvaa murali, anandhi, lal, bose venkat"
yaamirukka bayamey,"comedy, horror",7.1,deekay,"krishna sekhar, rupa manjari, karunakaran, oviya"
vaayai moodi pesavum,"comedy, drama, romance",6.7,balaji mohan,"dulquer salmaan, nazriya nazim, madhoo, r. pandiaraajan"
cuckoo,"drama, romance",7.8,raju murugan,"dinesh, malavika nair, elango, somasundaram"
naan sigappu manithan,"action, drama, thriller",6.5,thiru,"vishal, lakshmi menon, iniya, saranya ponvannan"
tamiluku en ondrai aluthavum,"comedy, sci-fi, thriller",7,ramprakash rayappa,"nakhul, dinesh, bindhu madhavi, aishwarya dutta"
aadama jaichomada,comedy,5.5,badri,"karunakaran, vijayalakshmi agathiyan, bobby simha, balaji"
ammani,"drama, family",7.9,lakshmi ramakrishnan,"semmalar annam, manas bhaskaran, sri mahesh, manas"
katha solla porom,comedy,6.4,kalyaan,"arun aravind, aadukalam naren, kaali venkat"
maan karate,"comedy, drama",4.9,thirukumaran,"sivakarthikeyan, hansika motwani, soori, vamsi krishna"
rum,horror,4.2,sai bharath,"arjun chidambaram, mia george, hrishikesh, amzath khan"
kotigobba 2,"action, drama, thriller",6.5,k.s. ravikumar,"sudeep, nithya menon, prakash raj, p. ravi shankar"
vaaimai,drama,3.5,a. senthil kumar,"shanthnu bhagyaraj, manoj k. bharathi, muktha george, goundamani"
enakku innoru per irukku,"action, comedy, crime",5.3,sam anton,"g.v. prakash kumar, anandhi, nirosha, saravanan"
game,"action, mystery, thriller",5.9,a.m.r. ramesh,"arjun sarja, manisha koirala, shaam, aqsa bhatt"
tutak tutak tutiya,"comedy, horror",5.5,a.l. vijay,"rj balaji, tamannaah bhatia, prabhu deva, karishma gulati"
bangalore naatkal,drama,5.5,bhaskar,"arya, sri divya, bobby simha, rana daggubati"
kaashmora,"action, comedy, fantasy",5.5,gokul,"karthi, nayanthara, sri divya, vivek"
lightman,drama,6.4,g. venkatesh kumar,"karthik nagarajan, jennifer, vasagan, govindaswaminathan"
meen kuzhambum mann paanaiyum,"comedy, fantasy",5.5,amudeshver,"balaji, santhana bharathi, m.s. bhaskar, thalapathi dinesh"
rudhramadevi,"action, biography, history",5.8,gunasekhar,"anushka shetty, allu arjun, rana daggubati, vikramjeet virk"
thirunaal,"action, drama, romance",4,ramnath,"jiiva, nayanthara, karunas, meenakshi"
uchathula shiva,action,2.9,jaypee,"ilavarasu, kanal kannan, karan, ramesh khanna"
uyire.. uyire..,"drama, romance",5,a.r. rajasekar,"siddhu, hansika motwani, ajay, aadukalam naren"
dhilluku dhuddu,"comedy, horror",5.1,rambala,"santhanam, shanaya, karunas, motta rajendran"
enga amma rani,action,6.1,s. bani,"dhansika, anil murali, namo narayana, varnika"
